timeStamp,label,responseCode,responseMessage,failureMessage,scenario,request_type,run
2025-07-10 17:00:02.034,Deregistration,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_high,Deregistration,1
2025-07-10 17:00:10.050,Revoke,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_high,Revoke,1
2025-07-10 17:00:18.090,Relinquishment,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_high,Relinquishment,1
2025-07-10 17:00:26.098,Grant,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_high,Grant,1
2025-07-10 17:00:34.097,Grant,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_high,Grant,1
2025-07-10 18:59:56.058,Deregistration,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_high,Deregistration,2
2025-07-10 19:00:04.072,Relinquishment,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_high,Relinquishment,2
2025-07-10 19:00:12.087,Relinquishment,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_high,Relinquishment,2
2025-07-10 19:00:20.098,Grant,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_high,Grant,2
2025-07-10 19:00:36.096,Grant,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_high,Grant,2
2025-07-10 20:59:50.090,Grant,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_high,Grant,3
2025-07-10 20:59:58.079,Revoke,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_high,Revoke,3
2025-07-10 21:00:06.085,Revoke,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_high,Revoke,3
2025-07-10 21:00:14.081,Deregistration,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_high,Deregistration,3
2025-07-10 21:00:22.067,Grant,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_high,Grant,3
2025-07-10 21:00:30.057,Grant,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_high,Grant,3
2025-07-10 22:56:14.042,Grant,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_high,Grant,3
2025-07-10 22:59:40.059,Grant,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_high,Grant,4
2025-07-10 22:59:48.047,Grant,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_high,Grant,4
2025-07-10 22:59:56.039,Grant,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_high,Grant,4
2025-07-10 23:00:04.033,Deregistration,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_high,Deregistration,4
2025-07-10 23:00:12.029,Grant,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_high,Grant,4
2025-07-11 00:59:34.049,Deregistration,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_high,Deregistration,5
2025-07-11 00:59:42.049,Authorize,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_high,Authorize,5
2025-07-11 00:59:50.046,Grant,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_high,Grant,5
2025-07-11 00:59:58.036,Relinquishment,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_high,Relinquishment,5
2025-07-11 01:00:06.029,Grant,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_high,Grant,5
2025-07-11 01:00:14.122,Grant,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_high,Grant,5
2025-07-11 02:58:04.129,Deregistration,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_high,Deregistration,5
2025-07-11 03:09:40.052,Grant,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_medium,Grant,1
2025-07-11 03:09:54.045,Deregistration,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_medium,Deregistration,1
2025-07-11 03:10:02.043,Grant,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_medium,Grant,1
2025-07-11 03:10:10.040,Authorize ,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_medium,Authorize,1
2025-07-11 03:10:26.041,Grant,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_medium,Grant,1
2025-07-11 03:11:06.024,Authorize ,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_medium,Authorize,1
2025-07-11 03:11:14.023,Revoke,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_medium,Revoke,1
2025-07-11 03:11:46.023,Revoke,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_medium,Revoke,1
2025-07-11 03:12:32.030,Relinquishment,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_medium,Relinquishment,1
2025-07-11 03:13:22.064,Deregistration,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_medium,Deregistration,1
2025-07-11 03:13:44.067,Grant,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_medium,Grant,1
2025-07-11 03:14:26.059,Relinquishment,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_medium,Relinquishment,1
2025-07-11 03:14:48.029,Revoke,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_medium,Revoke,1
2025-07-11 03:15:30.029,Grant,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_medium,Grant,1
2025-07-11 03:15:38.033,Authorize ,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_medium,Authorize,1
2025-07-11 03:15:58.026,Revoke,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_medium,Revoke,1
2025-07-11 03:16:42.045,Relinquishment,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_medium,Relinquishment,1
2025-07-11 03:17:40.034,Relinquishment,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_medium,Relinquishment,1
2025-07-11 03:18:46.039,Deregistration,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_medium,Deregistration,1
2025-07-11 03:19:58.097,Registration,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_medium,Registration,1
2025-07-11 03:21:02.080,Revoke,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_medium,Revoke,1
2025-07-11 03:21:10.066,Registration,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_medium,Registration,1
2025-07-11 03:21:58.123,Grant,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_medium,Grant,1
2025-07-11 03:22:06.118,Deregistration,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_medium,Deregistration,1
2025-07-11 03:23:02.034,Authorize ,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_medium,Authorize,1
2025-07-11 03:23:10.023,Relinquishment,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_medium,Relinquishment,1
2025-07-11 03:24:14.124,Registration,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_medium,Registration,1
2025-07-11 03:24:22.107,Revoke,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_medium,Revoke,1
2025-07-11 03:26:20.084,Authorize ,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_medium,Authorize,1
2025-07-11 03:26:28.071,Revoke,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_medium,Revoke,1
2025-07-11 03:27:20.027,Relinquishment,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_medium,Relinquishment,1
2025-07-11 03:28:40.054,Grant,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_medium,Grant,2
2025-07-11 03:28:54.037,Grant,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_medium,Grant,2
2025-07-11 03:29:02.040,Grant,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_medium,Grant,2
2025-07-11 03:29:10.033,Revoke,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_medium,Revoke,2
2025-07-11 03:29:18.025,Relinquishment,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_medium,Relinquishment,2
2025-07-11 03:29:26.124,Grant,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_medium,Grant,2
2025-07-11 03:30:06.043,Authorize ,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_medium,Authorize,2
2025-07-11 03:32:24.086,Deregistration,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_medium,Deregistration,2
2025-07-11 03:32:56.048,Grant,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_medium,Grant,2
2025-07-11 03:33:46.124,Authorize ,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_medium,Authorize,2
2025-07-11 03:34:36.052,Revoke,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_medium,Revoke,2
2025-07-11 03:34:44.040,Relinquishment,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_medium,Relinquishment,2
2025-07-11 03:35:42.021,Relinquishment,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_medium,Relinquishment,2
2025-07-11 03:35:50.022,Grant,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_medium,Grant,2
2025-07-11 03:36:28.031,Authorize ,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_medium,Authorize,2
2025-07-11 03:37:08.071,Authorize ,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_medium,Authorize,2
2025-07-11 03:37:38.059,Grant,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_medium,Grant,2
2025-07-11 03:37:56.058,Grant,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_medium,Grant,2
2025-07-11 03:38:44.024,Grant,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_medium,Grant,2
2025-07-11 03:39:22.113,Revoke,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_medium,Revoke,2
2025-07-11 03:39:56.071,Grant,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_medium,Grant,2
2025-07-11 03:40:04.067,Authorize ,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_medium,Authorize,2
2025-07-11 03:40:32.032,Registration,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_medium,Registration,2
2025-07-11 03:41:04.028,Authorize ,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_medium,Authorize,2
2025-07-11 03:41:38.026,Deregistration,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_medium,Deregistration,2
2025-07-11 03:42:46.129,Grant,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_medium,Grant,2
2025-07-11 03:43:18.029,Relinquishment,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_medium,Relinquishment,2
2025-07-11 03:44:36.036,Authorize ,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_medium,Authorize,2
2025-07-11 03:45:06.032,Relinquishment,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_medium,Relinquishment,2
2025-07-11 03:45:32.042,Revoke,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_medium,Revoke,2
2025-07-11 03:46:10.024,Relinquishment,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_medium,Relinquishment,2
2025-07-11 03:47:40.110,Deregistration,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_medium,Deregistration,3
2025-07-11 03:47:54.092,Relinquishment,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_medium,Relinquishment,3
2025-07-11 03:48:02.073,Registration,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_medium,Registration,3
2025-07-11 03:48:10.063,Revoke,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_medium,Revoke,3
2025-07-11 03:48:18.052,Grant,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_medium,Grant,3
2025-07-11 03:48:26.037,Relinquishment,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_medium,Relinquishment,3
2025-07-11 03:48:34.027,Registration,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_medium,Registration,3
2025-07-11 03:49:12.021,Registration,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_medium,Registration,3
2025-07-11 03:49:34.026,Grant,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_medium,Grant,3
2025-07-11 03:50:12.110,Registration,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_medium,Registration,3
2025-07-11 03:50:48.027,Registration,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_medium,Registration,3
2025-07-11 03:50:56.023,Grant,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_medium,Grant,3
2025-07-11 03:51:24.040,Registration,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_medium,Registration,3
2025-07-11 03:51:32.037,Grant,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_medium,Grant,3
2025-07-11 03:51:56.030,Revoke,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_medium,Revoke,3
2025-07-11 03:52:28.031,Revoke,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_medium,Revoke,3
2025-07-11 03:53:10.022,Revoke,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_medium,Revoke,3
2025-07-11 03:53:42.037,Registration,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_medium,Registration,3
2025-07-11 03:54:14.031,Grant,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,,sas_full_flow_medium,Grant,3
