scenario,request_type,run,p95,p99,p999,max,count
Low,Authorize,1,1.0,1.0,1.0,1.0,10
Low,Authorize,2,1.0,1.0,1.0,1.0,10
Low,Authorize,3,1.0,1.0,1.0,1.0,10
Low,Authorize,4,1.0,1.0,1.0,1.0,10
Low,Authorize,5,1.0,1.0,1.0,1.0,10
Low,Deregistration,1,1.0,1.0,1.0,1.0,10
Low,Deregistration,2,1.0,1.0,1.0,1.0,10
Low,Deregistration,3,1.0,1.0,1.0,1.0,10
Low,Deregistration,4,1.0,1.0,1.0,1.0,10
Low,Deregistration,5,1.0,1.0,1.0,1.0,10
Low,Grant,1,1.0,1.0,1.0,1.0,10
Low,Grant,2,1.0,1.0,1.0,1.0,10
Low,Grant,3,1.0,1.0,1.0,1.0,10
Low,Grant,4,1.0,1.0,1.0,1.0,10
Low,Grant,5,1.0,1.0,1.0,1.0,10
Low,Registration,1,1.0,1.0,1.0,1.0,10
Low,Registration,2,1.0,1.0,1.0,1.0,10
Low,Registration,3,1.0,1.0,1.0,1.0,10
Low,Registration,4,1.0,1.0,1.0,1.0,10
Low,Registration,5,1.0,1.0,1.0,1.0,10
Low,Relinquishment,1,1.0,1.0,1.0,1.0,10
Low,Relinquishment,2,1.0,1.0,1.0,1.0,10
Low,Relinquishment,3,1.0,1.0,1.0,1.0,10
Low,Relinquishment,4,1.0,1.0,1.0,1.0,10
Low,Relinquishment,5,1.0,1.0,1.0,1.0,10
Low,Revoke,1,1.0,1.0,1.0,1.0,10
Low,Revoke,2,1.0,1.0,1.0,1.0,10
Low,Revoke,3,1.0,1.0,1.0,1.0,10
Low,Revoke,4,1.0,1.0,1.0,1.0,10
Low,Revoke,5,1.0,1.0,1.0,1.0,10
Medium,Authorize,1,2.0,2.0,2.0,2.0,81
Medium,Authorize,2,2.0,3.0,3.0,3.0,83
Medium,Authorize,3,2.0,3.0,3.0,3.0,78
Medium,Authorize,4,2.0,3.0,3.0,3.0,81
Medium,Authorize,5,2.0,2.1799999999999926,2.9180000000000064,3.0,83
Medium,Deregistration,1,2.0,2.0,2.0,2.0,82
Medium,Deregistration,2,2.0,2.0,2.0,2.0,88
Medium,Deregistration,3,2.0,3.0,3.0,3.0,80
Medium,Deregistration,4,2.0,3.0,3.0,3.0,75
Medium,Deregistration,5,2.0,3.0,3.0,3.0,79
Medium,Grant,1,2.0,3.0,3.0,3.0,86
Medium,Grant,2,2.25,3.0,3.0,3.0,76
Medium,Grant,3,2.0,2.1700000000000017,2.917000000000016,3.0,84
Medium,Grant,4,2.0,3.0,3.0,3.0,78
Medium,Grant,5,2.0,2.1599999999999966,2.916000000000011,3.0,85
Medium,Registration,1,2.0,2.1599999999999966,2.916000000000011,3.0,85
Medium,Registration,2,2.0,3.0,3.0,3.0,80
Medium,Registration,3,2.0,2.0,2.0,2.0,87
Medium,Registration,4,2.0,3.0,3.0,3.0,78
Medium,Registration,5,2.0,2.1700000000000017,2.917000000000016,3.0,84
Medium,Relinquishment,1,2.0,2.0,2.0,2.0,85
Medium,Relinquishment,2,2.0,2.200000000000003,2.920000000000016,3.0,81
Medium,Relinquishment,3,2.0,2.0,2.0,2.0,82
Medium,Relinquishment,4,2.0,3.219999999999999,3.9220000000000113,4.0,79
Medium,Relinquishment,5,2.0,3.0,3.0,3.0,78
Medium,Revoke,1,2.0,2.0,2.0,2.0,84
Medium,Revoke,2,2.0,2.0,2.0,2.0,86
Medium,Revoke,3,2.0,2.230000000000004,2.923000000000002,3.0,78
Medium,Revoke,4,2.0,3.5200000000000102,4.852000000000004,5.0,75
Medium,Revoke,5,2.0,3.0,3.0,3.0,80
High,Authorize,1,1.0,2.0,2.0,2.0,593
High,Authorize,2,1.0,2.0,2.0,2.0,589
High,Authorize,3,1.0,2.0,2.0,2.0,589
High,Authorize,4,1.0,2.0,2.0,2.0,592
High,Authorize,5,1.0,2.0,2.0,2.0,589
High,Deregistration,1,1.0,1.07000000000005,2.0,2.0,594
High,Deregistration,2,1.0,2.0,2.4150000000000773,3.0,586
High,Deregistration,3,1.0,2.0,2.0,2.0,592
High,Deregistration,4,1.0,1.0,2.0,2.0,596
High,Deregistration,5,1.0,1.0,2.0,2.0,595
High,Grant,1,1.0,1.07000000000005,2.0,2.0,594
High,Grant,2,1.0,1.07000000000005,2.0,2.0,594
High,Grant,3,1.0,1.0,2.0,2.0,597
High,Grant,4,1.0,1.0,2.0,2.0,596
High,Grant,5,1.0,2.0,2.0,2.0,593
High,Registration,1,1.0,1.0,2.0,2.0,596
High,Registration,2,1.0,2.0,2.0,2.0,593
High,Registration,3,1.0,1.0,2.0,2.0,595
High,Registration,4,1.0,1.0,2.0,2.0,598
High,Registration,5,1.0,1.0,2.0,2.0,596
High,Relinquishment,1,1.0,2.0,2.0,2.0,591
High,Relinquishment,2,1.0,2.0,2.411000000000058,3.0,590
High,Relinquishment,3,1.0,2.0,2.0,2.0,591
High,Relinquishment,4,1.0,2.0,2.0,2.0,589
High,Relinquishment,5,1.0,2.0,2.0,2.0,591
High,Revoke,1,1.0,2.0,2.0,2.0,592
High,Revoke,2,1.0,2.0,2.4120000000000346,3.0,589
High,Revoke,3,1.0,1.07000000000005,2.0,2.0,594
High,Revoke,4,1.0,2.0,2.0,2.0,588
High,Revoke,5,1.0,2.0,2.0,2.0,591
Stress,Authorize,1,1.0,1.0,1.0,2.0,1499
Stress,Authorize,2,1.0,1.0,1.0,1.0,1500
Stress,Authorize,3,1.0,1.0,1.0,1.0,1500
Stress,Authorize,4,1.0,1.0,1.0,2.0,1499
Stress,Authorize,5,1.0,1.0,1.0,1.0,1500
Stress,Deregistration,1,1.0,1.0,1.0,2.0,1499
Stress,Deregistration,2,1.0,1.0,1.0,2.0,1499
Stress,Deregistration,3,1.0,1.0,1.0,2.0,1499
Stress,Deregistration,4,1.0,1.0,1.0,2.0,1499
Stress,Deregistration,5,1.0,1.0,1.0,2.0,1499
Stress,Grant,1,1.0,1.0,1.0,1.0,1500
Stress,Grant,2,1.0,1.0,1.0,2.0,1499
Stress,Grant,3,1.0,1.0,1.0,1.0,1500
Stress,Grant,4,1.0,1.0,1.0,1.0,1500
Stress,Grant,5,1.0,1.0,1.0,1.0,1500
Stress,Registration,1,1.0,1.0,1.0,2.0,1499
Stress,Registration,2,1.0,1.0,1.0,2.0,1499
Stress,Registration,3,1.0,1.0,1.0,2.0,1499
Stress,Registration,4,1.0,1.0,1.0,2.0,1499
Stress,Registration,5,1.0,1.0,1.0,2.0,1499
Stress,Relinquishment,1,1.0,1.0,2.0,2.0,1497
Stress,Relinquishment,2,1.0,1.0,1.0,2.0,1499
Stress,Relinquishment,3,1.0,1.0,1.5030000000001564,2.0,1498
Stress,Relinquishment,4,1.0,1.0,1.0,2.0,1499
Stress,Relinquishment,5,1.0,1.0,1.0,2.0,1499
Stress,Revoke,1,1.0,1.0,1.0,1.0,1500
Stress,Revoke,2,1.0,1.0,1.0,1.0,1500
Stress,Revoke,3,1.0,1.0,1.0,2.0,1499
Stress,Revoke,4,1.0,1.0,1.0,1.0,1500
Stress,Revoke,5,1.0,1.0,1.0,2.0,1499
